3/8|General Electric Company
4/8|Level 3 Communications, Inc.
8/8|Level 3 Communications, Inc.
9/8|IBM
12/8|AT&T Bell Laboratories
13/8|Xerox Corporation
15/8|Hewlett-Packard Company
16/8|Digital Equipment Corporation
17/8|Apple Computer Inc.
18/8|MIT
19/8|Ford Motor Company
20/8|Computer Sciences Corporation
32/8|AT&T Global Network Services
34/8|Halliburton Company
35/8|MERIT Computer Network
38/8|PSINet, Inc.
40/8|Eli Lily & Company
44/8|Amateur Radio Digital Communications
52/8|E.I. duPont de Nemours and Co., Inc.
54/8|Merck and Co., Inc.
