3/8|General Electric Company
#4/8|Level 3 Communications, Inc.
6/8|Army Information Systems Center
#8/8|Level 3 Communications, Inc.
9/8|IBM
11/8|DoD Intel Information Systems
12/8|AT&T Bell Laboratories
13/8|Xerox Corporation
15/8|Hewlett-Packard Company
16/8|Digital Equipment Corporation
17/8|Apple Computer Inc.
18/8|MIT
19/8|Ford Motor Company
20/8|Computer Sciences Corporation
21/8|DDN-RVN
22/8|Defense Information Systems Agency
25/8|UK Ministry of Defence          
26/8|Defense Information Systems Agency
28/8|DSI-North
29/8|Defense Information Systems Agency
30/8|Defense Information Systems Agency
32/8|AT&T Global Network Services
33/8|DLA Systems Automation Center
34/8|Halliburton Company
35/8|MERIT Computer Network
38/8|PSINet, Inc.
40/8|Eli Lily & Company
44/8|Amateur Radio Digital Communications
47/8|Bell-Northern Research
48/8|Prudential Securities Inc.
51/8|UK Government Department for Work and Pensions
52/8|E.I. duPont de Nemours and Co., Inc.
53/8|Cap Debis CCS
54/8|Merck and Co., Inc.
55/8|DoD Network Information Center
56/8|US Postal Service
57/8|SITA
214/8|US-DOD
215/8|US-DOD
